Document,Topic_group,Priority
Onedrive asap backup cloud storage disk space cloud storage database full database backup disk space urgent backup.,Storage,High
Leave question timesheet leave timesheet onboarding benefits pto payroll insurance question.,HR Support,Low
Disk space trivial disk space database database quota backup whenever database cloud storage onedrive full onedrive drive.,Storage,Low
Quota backup disk space disk space cloud storage wondering whenever quota onedrive database disk space quota database disk space.,Storage,Low
Disk space missing files backup cloud storage quota backup.,Storage,Medium
Backup disk space asap cloud storage missing files quota broken missing files missing files cloud storage missing files database disk space disk space onedrive full backup.,Storage,High
Vpn authentication reset reset vpn authentication authentication credentials.,Access,Medium
Login locked out access denied credentials password suggestion credentials authentication trivial password password account authentication.,Access,Low
Vpn locked out suggestion locked out reset password login access denied update reset vpn locked out.,Access,Low
All users feedback error feedback slow crashing error feedback emergency question.,Miscellaneous,High
Laptop asap laptop laptop power immediately broken.,Hardware,High
Monitor printer screen broken printer laptop screen broken broken mouse keyboard broken.,Hardware,Medium
Cloud storage quota quota onedrive drive drive quota onedrive all users backup missing files immediately database backup database missing files.,Storage,High
Mouse monitor battery question broken screen wondering screen broken battery printer laptop.,Hardware,Low
Zoom slow update slow meeting help.,Miscellaneous,Medium
Urgent asap zoom software software software question.,Miscellaneous,High
Database disk space missing files missing files no rush onedrive suggestion quota database disk space disk space disk space onedrive disk space drive onedrive onedrive.,Storage,Low
Power broken screen monitor keyboard blocked mouse laptop monitor screen printer screen screen broken paper blocked.,Hardware,High
Locked out password authentication locked out reset vpn authentication authentication password password login login reset vpn vpn.,Access,Medium
Benefits w2 timesheet onboarding pto.,HR Support,Medium
Asap quota drive quota full backup all users missing files quota onedrive full drive backup database disk space.,Storage,High
Full database missing files disk space blocked missing files backup onedrive critical quota disk space.,Storage,High
Wondering pto wondering w2 timesheet pto payroll payroll insurance w2.,HR Support,Low
Feedback question feedback question zoom meeting slow zoom error slow meeting feedback meeting question update.,Miscellaneous,Medium
Help crashing question help question question slow feedback crashing update question crashing crashing no rush zoom.,Miscellaneous,Low
Credentials access denied password login reset password login.,Access,Medium
Screen all users keyboard paper blocked paper printer battery.,Hardware,High
Laptop mouse keyboard laptop laptop keyboard keyboard battery suggestion mouse mouse no rush broken keyboard laptop.,Hardware,Low
Password password locked out access denied authentication account access denied authentication locked out credentials access denied vpn.,Access,Medium
Meeting question help software question error help software question help question feedback crashing feedback slow.,Miscellaneous,Medium
Error software error slow crashing question question crashing error zoom software software meeting software trivial.,Miscellaneous,Low
Password account authentication authentication password credentials vpn login vpn account authentication account password access denied.,Access,Medium
Laptop printer screen broken paper suggestion mouse power trivial paper power.,Hardware,Low
Login login reset vpn wondering authentication password reset login password vpn trivial vpn credentials login authentication password.,Access,Low
Feedback error zoom update crashing update crashing zoom emergency all users zoom feedback crashing zoom feedback slow update.,Miscellaneous,High
Timesheet benefits question timesheet pto benefits insurance payroll onboarding question onboarding payroll payroll leave.,HR Support,Low
Drive cloud storage trivial backup quota backup backup full onedrive cloud storage full trivial drive missing files full.,Storage,Low
Suggestion credentials account login password reset locked out access denied password question password access denied.,Access,Low
Credentials login reset password trivial locked out access denied whenever authentication password.,Access,Low
Credentials access denied broken login reset login authentication locked out blocked account credentials login access denied password authentication credentials.,Access,High
Crashing meeting feedback update zoom feedback broken all users error feedback help crashing.,Miscellaneous,High
Pto payroll timesheet onboarding w2 timesheet insurance leave insurance vacation insurance.,HR Support,Medium
Paper paper laptop battery keyboard printer printer paper paper power monitor power paper paper battery.,Hardware,Medium
Laptop printer power laptop laptop laptop whenever laptop broken battery screen screen power keyboard update.,Hardware,Low
Drive quota drive disk space quota disk space onedrive database quota disk space drive cloud storage backup full drive.,Storage,Medium
Database onedrive missing files missing files update drive drive backup trivial quota backup.,Storage,Low
Error zoom whenever zoom meeting question update.,Miscellaneous,Low
Wondering reset credentials authentication account authentication access denied password account account vpn no rush locked out authentication.,Access,Low
